what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763678402
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763689182
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763691974
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763771893
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763774935
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.OpenRunConfigurations,1239763774935
closed,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1239763781674
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.closeAll,1239763781705
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763783063
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763849534
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.newWizard,1239763849550
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763852935
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763854947
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1239763854963
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1239763854979
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1239763854994
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239763855072
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1239763855259
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1239763855259
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1239763855259
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1239763855259
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1239763855259
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1239763855259
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1239763855259
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1239763855275
