what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836601872
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1239836601981
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1239836602496
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1239836603619
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1239836604087
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1239836604743
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1239836605023
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.edit.text.openLocalFile,1239836605101
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1239836605803
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1239836605835
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1239836608409
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836608580
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1239836608799
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1239836608955
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836612839
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836612886
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836618970
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1239836638111
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836651995
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836654397
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836654413
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836656160
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836665302
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836693507
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239836695862
