what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1239922431746
started,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1239922431933
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922432136
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1239922432355
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1239922432542
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922436348
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922436426
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922439421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922442448
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922489277
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922489402
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922491118
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1239922491243
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1239922491289
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1239922491367
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239922491664
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1239922492116
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1239922492132
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1239922492163
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1239922492163
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1239922492179
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1239922492179
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1239922492194
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1239922492194
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1239922492194
